carrier_name,average_delay
Endeavor Air Inc.,0.1779044623550226
American Airlines Inc.,0.16515596498270968
Alaska Airlines Inc.,0.11815581585399074
JetBlue Airways,0.2588331447252609
Delta Air Lines Inc.,0.1264285091162872
ExpressJet Airlines Inc.,0.2131504406210659
Frontier Airlines Inc.,0.23844942722189044
Allegiant Air,0.2061178847125027
Hawaiian Airlines Inc.,0.1513037964650868
Envoy Air,0.21999397911215063
Spirit Air Lines,0.15435895547125336
PSA Airlines Inc.,0.2365282065674993
SkyWest Airlines Inc.,0.21297925620114377
United Air Lines Inc.,0.13917549463428086
Virgin America,0.16131347568634488
Southwest Airlines Co.,0.18018510544624153
Mesa Airlines Inc.,0.19275086337669045
Republic Airlines,0.17897234832851835
